Date,MSCI Europe Small Cap Value Weighted,MSCI USA Small Cap Value Weighted,MSCI Europe,MSCI World Momentum,MSCI ACWI,MSCI World,S&P 500 Minimum Volatility,MSCI Emerging Markets,FTSE World Government Bond - Developed Markets,S&P 500,MSCI USA Small Cap Value Weighted
01/1975,,,,,,,,,,,
02/1975,,,,,,,,,,,
03/1975,,,,,,,,,,,
04/1975,,,,,,,,,,,
05/1975,,,,,,,,,,,
06/1975,,,,,,,,,,,
07/1975,,,,,,,,,,,
08/1975,,,,,,,,,,,
09/1975,,,,,,,,,,,
10/1975,,,,,,,,,,,
11/1975,,,,,,,,,,,
12/1975,,,,,,,,,,,
01/1976,,,,,,,,,,,
02/1976,,,,,,,,,,,
03/1976,,,,,,,,,,,
04/1976,,,,,,,,,,,
05/1976,,,,,,,,,,,
06/1976,,,,,,,,,,,
07/1976,,,,,,,,,,,
08/1976,,,,,,,,,,,
09/1976,,,,,,,,,,,
10/1976,,,,,,,,,,,
11/1976,,,,,,,,,,,
12/1976,,,,,,,,,,,
01/1977,,,,,,,,,,,
02/1977,,,,,,,,,,,
03/1977,,,,,,,,,,,
04/1977,,,,,,,,,,,
05/1977,,,,,,,,,,,
06/1977,,,,,,,,,,,
07/1977,,,,,,,,,,,
08/1977,,,,,,,,,,,
09/1977,,,,,,,,,,,
10/1977,,,,,,,,,,,
11/1977,,,,,,,,,,,
12/1977,,,,,,,,,,,
01/1978,,,,,,,,,,,
02/1978,,,,,,,,,,,
03/1978,,,,,,,,,,,
04/1978,,,,,,,,,,,
05/1978,,,,,,,,,,,
06/1978,,,,,,,,,,,
07/1978,,,,,,,,,,,
08/1978,,,,,,,,,,,
09/1978,,,,,,,,,,,
10/1978,,,,,,,,,,,
11/1978,,,,,,,,,,,
12/1978,,,10000.0,,,10000.0,,,,,
01/1979,,,10185.22014136237,,,10398.930905250509,,,,,
02/1979,,,10417.900537688138,,,10248.849017195264,,,,,
03/1979,,,11082.862239464232,,,10675.226277917642,,,,,
04/1979,,,11357.571727828092,,,10778.50358279821,,,,,
05/1979,,,10904.93663100978,,,10708.880944697636,,,,,
06/1979,,,11091.800584057344,,,10889.84575852203,,,,,
07/1979,,,10853.345228031323,,,10578.590506604152,,,,,
08/1979,,,11213.883160751471,,,11036.524853554603,,,,,
09/1979,,,11652.336273235684,,,11162.378098026924,,,,,
10/1979,,,10649.360632847074,,,10376.16510293369,,,,,
11/1979,,,11043.6332976069,,,10651.72398360166,,,,,
12/1979,,,10821.354643477584,,,10690.898083358965,,,,,
01/1980,,,11242.47578453313,,,11222.644152383618,,,,,
02/1980,,,11482.007621487986,,,11331.976524858845,,,,,
03/1980,,,10360.385370629214,,,10648.959921826556,,,,,
04/1980,,,11543.023470064543,,,11481.555130843206,,,,,
05/1980,,,11330.929112519874,,,11524.620863031954,,,,,
06/1980,,,11957.612881949924,,,11899.479614256965,,,,,
07/1980,,,11981.966073808446,,,12112.443054965368,,,,,
08/1980,,,12319.463324403649,,,12593.610215946585,,,,,
09/1980,,,12486.108878404128,,,12940.50819136116,,,,,
10/1980,,,13244.768873607409,,,13651.988424485868,,,,,
11/1980,,,13531.201741509978,,,14720.80969969001,,,,,
12/1980,,,13386.746967081914,,,14852.777656733124,,,,,
01/1981,,,12901.570454855964,,,14463.167712691038,,,,,
02/1981,,,13644.781032510173,,,15492.392711318944,,,,,
03/1981,,,13911.717203326398,,,16052.980807362164,,,,,
04/1981,,,14128.132363625942,,,16486.545396880545,,,,,
05/1981,,,13784.056365579896,,,17151.11818447906,,,,,
