,Date,S&P 500,S&P 500 Minimum Volatility,MSCI ACWI,MSCI WORLD,MSCI World,MSCI Europe,MSCI Emerging Markets,MSCI USA Small Cap Value Weighted,MSCI Europe Small Cap Value Weighted,FTSE World Government Bond Developed Markets,FTSE World Government Bond G7,Gold spot
0,1968-02,,,,,,,,,,,,
1,1968-03,,,,,,,,,,,,
2,1968-04,,,,,,,,,,,,
3,1968-05,,,,,,,,,,,,
4,1968-06,,,,,,,,,,,,
5,1968-07,,,,,,,,,,,,
6,1968-08,,,,,,,,,,,,
7,1968-09,,,,,,,,,,,,
8,1968-10,,,,,,,,,,,,
9,1968-11,,,,,,,,,,,,
10,1968-12,,,,,,,,,,,,
11,1969-01,,,,,,,,,,,,
12,1969-02,,,,,,,,,,,,
13,1969-03,,,,,,,,,,,,
14,1969-04,,,,,,,,,,,,
15,1969-05,,,,,,,,,,,,
16,1969-06,,,,,,,,,,,,
17,1969-07,,,,,,,,,,,,
18,1969-08,,,,,,,,,,,,
19,1969-09,,,,,,,,,,,,
20,1969-10,,,,,,,,,,,,
21,1969-11,,,,,,,,,,,,
22,1969-12,,,,,,,,,,,,
23,1970-01,,,,94.528,,,,,,,,
24,1970-02,,,,97.558,,,,,,,,
25,1970-03,,,,97.947,,,,,,,,
26,1970-04,,,,88.877,,,,,,,,
27,1970-05,,,,83.357,,,,,,,,
28,1970-06,,,,81.389,,,,,,,,
29,1970-07,,,,86.525,,,,,,,,
30,1970-08,,,,89.464,,,,,,,,
31,1970-09,,,,92.438,,,,,,,,
32,1970-10,,,,91.164,,,,,,,,
33,1970-11,,,,93.296,,,,,,,,
34,1970-12,,,,98.017,,,,,,,,
35,1971-01,,,,102.615,,,,,,,,
36,1971-02,,,,103.788,,,,,,,,
37,1971-03,,,,108.435,,,,,,,,
38,1971-04,,,,112.068,,,,,,,,
39,1971-05,,,,109.5,,,,,,,,
40,1971-06,,,,110.702,,,,,,,,
41,1971-07,,,,109.019,,,,,,,,
42,1971-08,,,,111.488,,,,,,,,
43,1971-09,,,,110.515,,,,,,,,
44,1971-10,,,,106.433,,,,,,,,
45,1971-11,,,,107.426,,,,,,,,
46,1971-12,,,,117.193,,,,,,,,
47,1972-01,,,,121.582,,,,,,,,
48,1972-02,,,,126.354,,,,,,,,
49,1972-03,,,,128.197,,,,,,,,
50,1972-04,,,,129.991,,,,,,,,
51,1972-05,,,,132.732,,,,,,,,
52,1972-06,,,,129.744,,,,,,,,
53,1972-07,,,,131.847,,,,,,,,
54,1972-08,,,,135.69,,,,,,,,
55,1972-09,,,,133.722,,,,,,,,
56,1972-10,,,,134.917,,,,,,,,
57,1972-11,,,,142.094,,,,,,,,
58,1972-12,,,,144.79,,,,,,,,
59,1973-01,,,,145.225,,,,,,,,
60,1973-02,,,,146.32,,,,,,,,
61,1973-03,,,,146.617,,,,,,,,
62,1973-04,,,,139.331,,,,,,,,
63,1973-05,,,,139.013,,,,,,,,
64,1973-06,,,,139.984,,,,,,,,
65,1973-07,,,,143.42,,,,,,,,
66,1973-08,,,,137.559,,,,,,,,
67,1973-09,,,,141.637,,,,,,,,
68,1973-10,,,,143.167,,,,,,,,
69,1973-11,,,,124.712,,,,,,,,
70,1973-12,,,,123.787,,,,,,,,
71,1974-01,,,,124.841,,,,,,,,
72,1974-02,,,,126.894,,,,,,,,
73,1974-03,,,,123.8,,,,,,,,
74,1974-04,,,,121.85,,,,,,,,
75,1974-05,,,,117.059,,,,,,,,
76,1974-06,,,,113.49,,,,,,,,
77,1974-07,,,,106.887,,,,,,,,
78,1974-08,,,,96.694,,,,,,,,
79,1974-09,,,,87.796,,,,,,,,
80,1974-10,,,,96.318,,,,,,,,
81,1974-11,,,,94.934,,,,,,,,
82,1974-12,,,,93.484,,,,,,,,
83,1975-01,,,,107.239,,,,,,,,
84,1975-02,,,,116.842,,,,,,,,
85,1975-03,,,,117.83,,,,,,,,
86,1975-04,,,,122.839,,,,,,,,
87,1975-05,,,,125.871,,,,,,,,
88,1975-06,,,,127.582,,,,,,,,
89,1975-07,,,,120.651,,,,,,,,
90,1975-08,,,,118.919,,,,,,,,
91,1975-09,,,,114.055,,,,,,,,
92,1975-10,,,,122.042,,,,,,,,
93,1975-11,,,,125.502,,,,,,,,
94,1975-12,,,,125.732,,,,,,,,
95,1976-01,,,,137.094,,,,,,,,
96,1976-02,,,,136.202,,,,,,,,
97,1976-03,,,,137.942,,,,,,,,
98,1976-04,,,,137.064,,,,,,,,
99,1976-05,,,,134.908,,,,,,,,
100,1976-06,,,,139.189,,,,,,,,
101,1976-07,,,,138.023,,,,,,,,
102,1976-08,,,,137.837,,,,,,,,
103,1976-09,,,,139.131,,,,,,,,
104,1976-10,,,,134.396,,,,,,,,
105,1976-11,,,,134.011,,,,,,,,
106,1976-12,,,,144.228,,,,,,,,
107,1977-01,,,,139.528,,,,,,,,
108,1977-02,,,,139.06,,,,,,,,
109,1977-03,,,,138.34,,,,,,,,
110,1977-04,,,,140.004,,,,,,,,
111,1977-05,,,,138.251,,,,,,,,
112,1977-06,,,,143.608,,,,,,,,
113,1977-07,,,,141.838,,,,,,,,
114,1977-08,,,,142.518,,,,,,,,
115,1977-09,,,,144.449,,,,,,,,
116,1977-10,,,,142.147,,,,,,,,
117,1977-11,,,,144.094,,,,,,,,
118,1977-12,,,,147.115,,,,,,,,
119,1978-01,,,,142.95,,,,,,,,
120,1978-02,,,,142.028,,,,,,,,
121,1978-03,,,,148.635,,,,,,,,
122,1978-04,,,,155.498,,,,,,,,
123,1978-05,,,,157.639,,,,,,,,
124,1978-06,,,,159.391,,,,,,,,
125,1978-07,,,,171.076,,,,,,,,
126,1978-08,,,,175.192,,,,,,,,
127,1978-09,,,,177.417,,,,,,,,
128,1978-10,,,,174.171,,,,,,,,
129,1978-11,,,,168.217,,,,,,,,
130,1978-12,,,,173.914,,,,,,,,
131,1979-01,,,,178.579,10411.868863153852,10202.47542840942,,,,,,10485.354545863223
132,1979-02,,,,175.375,10274.9891938922,10453.213087501876,,,,,,11330.061914822438
133,1979-03,,,,182.932,10715.365626879584,11138.690817555986,,,,,,10822.698918678325
134,1979-04,,,,182.886,10832.85818180805,11432.88976087676,,,,,,11181.144220649852
135,1979-05,,,,179.939,10776.787222603349,10995.471425542944,,,,,,12655.830314436029
136,1979-06,,,,185.346,10972.00583239519,11203.484664981772,,,,,,12641.30483676145
137,1979-07,,,,186.962,10671.996118422388,10982.499632639889,,,,,,13021.765580489897
138,1979-08,,,,194.695,11147.955352610972,11366.860388535446,,,,,,13884.010396038651
139,1979-09,,,,199.306,11289.537252012607,11831.88712036359,,,,,,17315.928285732913
140,1979-10,,,,184.702,10508.152488566486,10833.621549808342,,,,,,16724.15700335673
141,1979-11,,,,190.619,10802.104488425315,11255.247707760347,,,,,,18125.75379549448
142,1979-12,,,,195.949,10856.336028048869,11049.172284948723,,,,,,22340.743253868503
143,1980-01,,,,207.989,11410.839116207511,11499.954842838864,,,,,,27568.71358025448
144,1980-02,,,,208.339,11537.14025193797,11766.312627616137,,,,,,27145.205515054644
145,1980-03,,,,186.164,10857.301974948865,10639.172585223389,,,,,,22193.133006653297
146,1980-04,,,,198.609,11722.96608398318,11878.066689417688,,,,,,23528.511246793627
147,1980-05,,,,208.657,11783.81806053315,11684.54280248819,,,,,,23272.264781184385
148,1980-06,,,,218.936,12184.45989060061,12355.88110303654,,,,,,27987.28692342613
149,1980-07,,,,225.928,12419.110898055187,12402.65872405994,,,,,,25983.145023529
150,1980-08,,,,230.624,12930.34305939636,12777.34116196816,,,,,,27235.35515702091
151,1980-09,,,,237.829,13304.163740110664,12975.351735180053,,,,,,28701.9828522242
152,1980-10,,,,245.044,14054.237822636356,13789.269157106295,,,,,,27761.31125729345
153,1980-11,,,,255.562,15172.844579566972,14113.164429494986,,,,,,28314.791711310303
154,1980-12,,,,250.269,15328.601607424342,13989.204690469403,,,,,,27784.67958852637
155,1981-01,,,,243.284,14947.020630021138,13508.005285216886,,,,,,23946.75333145678
156,1981-02,,,,244.275,16031.483515122758,14312.928179610217,,,,,,24696.172769881432
157,1981-03,,,,253.264,16633.82721025156,14620.276215815837,,,,,,25965.49843162179
158,1981-04,,,,253.653,17103.342220889816,14874.753080852732,,,,,,25048.94099164773
