Date,S&P 500,S&P 500 Minimum Volatility,MSCI ACWI,MSCI World,MSCI Europe,MSCI Emerging Markets,MSCI USA Small Cap Value Weighted,MSCI Europe Small Cap Value Weighted,FTSE World Government Bond - Developed Markets
01/1975,,,,,,,,,
02/1975,,,,,,,,,
03/1975,,,,,,,,,
04/1975,,,,,,,,,
05/1975,,,,,,,,,
06/1975,,,,,,,,,
07/1975,,,,,,,,,
08/1975,,,,,,,,,
09/1975,,,,,,,,,
10/1975,,,,,,,,,
11/1975,,,,,,,,,
12/1975,,,,,,,,,
01/1976,,,,,,,,,
02/1976,,,,,,,,,
03/1976,,,,,,,,,
04/1976,,,,,,,,,
05/1976,,,,,,,,,
06/1976,,,,,,,,,
07/1976,,,,,,,,,
08/1976,,,,,,,,,
09/1976,,,,,,,,,
10/1976,,,,,,,,,
11/1976,,,,,,,,,
12/1976,,,,,,,,,
01/1977,,,,,,,,,
02/1977,,,,,,,,,
03/1977,,,,,,,,,
04/1977,,,,,,,,,
05/1977,,,,,,,,,
06/1977,,,,,,,,,
07/1977,,,,,,,,,
08/1977,,,,,,,,,
09/1977,,,,,,,,,
10/1977,,,,,,,,,
11/1977,,,,,,,,,
12/1977,,,,,,,,,
01/1978,,,,,,,,,
02/1978,,,,,,,,,
03/1978,,,,,,,,,
04/1978,,,,,,,,,
05/1978,,,,,,,,,
06/1978,,,,,,,,,
07/1978,,,,,,,,,
08/1978,,,,,,,,,
09/1978,,,,,,,,,
10/1978,,,,,,,,,
11/1978,,,,,,,,,
12/1978,,,,10000.0,10000.0,,,,
01/1979,,,,10398.930905250509,10185.22014136237,,,,
02/1979,,,,10248.849017195264,10417.900537688138,,,,
03/1979,,,,10675.226277917642,11082.862239464232,,,,
04/1979,,,,10778.50358279821,11357.571727828092,,,,
05/1979,,,,10708.880944697636,10904.93663100978,,,,
06/1979,,,,10889.84575852203,11091.800584057344,,,,
07/1979,,,,10578.590506604152,10853.345228031323,,,,
08/1979,,,,11036.524853554603,11213.883160751471,,,,
09/1979,,,,11162.378098026924,11652.336273235684,,,,
10/1979,,,,10376.16510293369,10649.360632847074,,,,
11/1979,,,,10651.72398360166,11043.6332976069,,,,
12/1979,,,,10690.898083358965,10821.354643477584,,,,
01/1980,,,,11222.644152383618,11242.47578453313,,,,
02/1980,,,,11331.976524858845,11482.007621487986,,,,
03/1980,,,,10648.959921826556,10360.385370629214,,,,
04/1980,,,,11481.555130843206,11543.023470064543,,,,
05/1980,,,,11524.620863031954,11330.929112519874,,,,
06/1980,,,,11899.479614256965,11957.612881949924,,,,
07/1980,,,,12112.443054965368,11981.966073808446,,,,
08/1980,,,,12593.610215946585,12319.463324403649,,,,
09/1980,,,,12940.50819136116,12486.108878404128,,,,
10/1980,,,,13651.988424485868,13244.768873607409,,,,
11/1980,,,,14720.80969969001,13531.201741509978,,,,
12/1980,,,,14852.777656733124,13386.746967081914,,,,
01/1981,,,,14463.167712691038,12901.570454855964,,,,
02/1981,,,,15492.392711318944,13644.781032510173,,,,
03/1981,,,,16052.980807362164,13911.717203326398,,,,
04/1981,,,,16486.545396880545,14128.132363625942,,,,
05/1981,,,,17151.11818447906,13784.056365579896,,,,
06/1981,,,,17776.102685456586,13967.42512033204,,,,
07/1981,,,,18007.194521247326,13981.281512403615,,,,
08/1981,,,,18130.394515906635,14761.15427239477,,,,
09/1981,,,,16005.212422046532,12761.086202590051,,,,
10/1981,,,,16005.92215478959,12866.599550853196,,,,
11/1981,,,,17009.80602398687,14277.60375781027,,,,
